shRNA_ID,Target_Gene,RTN_A,RTN_B,Predictive_Effect,Timepoint,Dosage,Gene_Category,Sort_Order
Axl_06,Axl,0.005248067819158588,0.005193712933326745,0.015020087935649023,T10,3.5nM,Other,4
Axl_07,Axl,0.005804942909177184,0.006004492764045577,-0.04876049941883441,T10,3.5nM,Other,4
Axl_08,Axl,0.00476327738647227,0.00471818197344676,0.01372350328037697,T10,3.5nM,Other,4
Axl_09,Axl,0.004964278091116155,0.005779867671486474,-0.21945252773159696,T10,3.5nM,Other,4
Axl_10,Axl,0.005647332408970068,0.006279815250236772,-0.15315256357190887,T10,3.5nM,Other,4
Axl_01,Axl,0.00616066585313353,0.005469364419443244,0.17171309685196773,T13,0.6nM,Other,4
Axl_02,Axl,0.005933096310621932,0.005703479146870309,0.05694296393410523,T13,0.6nM,Other,4
Axl_03,Axl,0.004486939749514642,0.004426125882413686,0.01968732860532235,T13,0.6nM,Other,4
Axl_04,Axl,0.005308722719357168,0.005406680006997857,-0.02637818357995803,T13,0.6nM,Other,4
Axl_05,Axl,0.0052599362073422135,0.005195668943919785,0.017735794073614756,T13,0.6nM,Other,4
Axl_06,Axl,0.005492189319731335,0.005317404102228996,0.04665924722902202,T13,0.6nM,Other,4
Axl_07,Axl,0.005708694180921079,0.00603469709047181,-0.08012057908515823,T13,0.6nM,Other,4
Axl_08,Axl,0.004635341351972397,0.004978314907951656,-0.10298190770814979,T13,0.6nM,Other,4
Axl_09,Axl,0.005401881424618186,0.005606874870300959,-0.05373490131485964,T13,0.6nM,Other,4
Axl_10,Axl,0.005850186063056849,0.006500890206169713,-0.15215477879540978,T13,0.6nM,Other,4
Axl_01,Axl,0.00597237390049662,0.005469364419443244,0.1269312972948025,T13,3.5nM,Other,4
Axl_02,Axl,0.006084691909152613,0.005703479146870309,0.09334197771073552,T13,3.5nM,Other,4
Axl_03,Axl,0.0048056882778519305,0.004426125882413686,0.11869858765975001,T13,3.5nM,Other,4
Axl_04,Axl,0.005895691025998698,0.005406680006997857,0.12491794605491406,T13,3.5nM,Other,4
Axl_05,Axl,0.005094301971801318,0.005195668943919785,-0.028425028610623588,T13,3.5nM,Other,4
Axl_06,Axl,0.005127856903250251,0.005317404102228996,-0.052366106837642326,T13,3.5nM,Other,4
Axl_07,Axl,0.0055990871698224235,0.00603469709047181,-0.10808971628501428,T13,3.5nM,Other,4
Axl_08,Axl,0.0057771806647671535,0.004978314907951656,0.21470811931045206,T13,3.5nM,Other,4
Axl_09,Axl,0.004831166564486583,0.005606874870300959,-0.21482527973132054,T13,3.5nM,Other,4
Axl_10,Axl,0.005724741538830975,0.006500890206169713,-0.18342672886775155,T13,3.5nM,Other,4
B2m_01,B2m,0.0051256812022529045,0.0058619969078054935,-0.19364845569657416,T7,0.6nM,Other,4
B2m_02,B2m,0.004598259324771732,0.00520123677420045,-0.1777668837634431,T7,0.6nM,Other,4
B2m_03,B2m,0.005937809140268772,0.005815104804153362,0.030125528087058744,T7,0.6nM,Other,4
B2m_04,B2m,0.005853448748015527,0.006042082568427672,-0.04575901394435274,T7,0.6nM,Other,4
B2m_05,B2m,0.0055771906010393425,0.005357443980439459,0.05799371647773442,T7,0.6nM,Other,4
B2m_06,B2m,0.005642579177314629,0.0053322808448214324,0.0816019901792005,T7,0.6nM,Other,4
B2m_07,B2m,0.006198334617005246,0.005830916981727829,0.0881578585072822,T7,0.6nM,Other,4
B2m_08,B2m,0.006048907976041207,0.005820457471129594,0.0555421634270426,T7,0.6nM,Other,4
B2m_09,B2m,0.005579089847961135,0.005618830349984829,-0.010240056167884749,T7,0.6nM,Other,4
B2m_10,B2m,0.004396507675717998,0.004859468890031673,-0.1444406572754387,T7,0.6nM,Other,4
B2m_01,B2m,0.005150359663396772,0.0058619969078054935,-0.186719023939348,T7,3.5nM,Other,4
B2m_02,B2m,0.004998707123900079,0.00520123677420045,-0.057299713302128345,T7,3.5nM,Other,4
B2m_03,B2m,0.00609956204001356,0.005815104804153362,0.06890046492816873,T7,3.5nM,Other,4
B2m_04,B2m,0.005713513319118697,0.006042082568427672,-0.08066774765225912,T7,3.5nM,Other,4
B2m_05,B2m,0.0052058592359720745,0.005357443980439459,-0.04140855712652723,T7,3.5nM,Other,4
B2m_06,B2m,0.00587987663777458,0.0053322808448214324,0.14103311960368542,T7,3.5nM,Other,4
B2m_07,B2m,0.005790861972068925,0.005830916981727829,-0.009944672470697736,T7,3.5nM,Other,4
B2m_08,B2m,0.006065489923771095,0.005820457471129594,0.05949163064716242,T7,3.5nM,Other,4
B2m_09,B2m,0.0055995331187040625,0.005618830349984829,-0.004963299220614107,T7,3.5nM,Other,4
B2m_10,B2m,0.004413395002507597,0.004859468890031673,-0.1389097692865936,T7,3.5nM,Other,4
B2m_01,B2m,0.005220549138215317,0.005547156434772827,-0.08754684259520709,T10,0.6nM,Other,4
B2m_02,B2m,0.005084028330345204,0.00530084121676785,-0.06024925660229372,T10,0.6nM,Other,4
B2m_03,B2m,0.005939806476040231,0.005725122358334625,0.05310940048272962,T10,0.6nM,Other,4
B2m_04,B2m,0.006232552804367664,0.006166791653683631,0.015303095393155788,T10,0.6nM,Other,4
B2m_05,B2m,0.00548730605660643,0.005586596048012184,-0.02587146167681903,T10,0.6nM,Other,4
B2m_06,B2m,0.005839078355415913,0.005720523033530358,0.0295936108059073,T10,0.6nM,Other,4
B2m_07,B2m,0.006137929170798965,0.006453605881197,-0.07235347799130197,T10,0.6nM,Other,4
B2m_08,B2m,0.0054072572870073,0.006020228183049184,-0.15492116602104078,T10,0.6nM,Other,4
B2m_09,B2m,0.006246996722556471,0.00597677712488757,0.06379502759911701,T10,0.6nM,Other,4
B2m_10,B2m,0.004269103265320057,0.0047351475554025775,-0.14947632291981705,T10,0.6nM,Other,4
B2m_01,B2m,0.005381480647498941,0.005547156434772827,-0.04374524432375935,T10,3.5nM,Other,4
B2m_02,B2m,0.004829682927841483,0.00530084121676785,-0.13429284806874148,T10,3.5nM,Other,4
B2m_03,B2m,0.006096355527671768,0.005725122358334625,0.09064051339665796,T10,3.5nM,Other,4
B2m_04,B2m,0.005629685061802396,0.006166791653683631,-0.13146588867926812,T10,3.5nM,Other,4
B2m_05,B2m,0.005122922913123604,0.005586596048012184,-0.1250023235112825,T10,3.5nM,Other,4
B2m_06,B2m,0.005994499315308069,0.005720523033530358,0.06749219879678113,T10,3.5nM,Other,4
B2m_07,B2m,0.00652820835912806,0.006453605881197,0.016581628387613907,T10,3.5nM,Other,4
B2m_08,B2m,0.005397096167286714,0.006020228183049184,-0.15763477612547566,T10,3.5nM,Other,4
B2m_09,B2m,0.005679179675662932,0.00597677712488757,-0.07368518949891541,T10,3.5nM,Other,4
