shRNA_ID,Target_Gene,RTN_A,RTN_B,Prognostic_Effect,Gene_Category,Sort_Order
NT_165,NT,0.9852141461606576,1.0,-0.021490752018708446,Neutral Control,1
NT_166,NT,1.2065076385274436,1.0,0.2708370494374421,Neutral Control,1
NT_167,NT,1.114564410138024,1.0,0.1564799916552129,Neutral Control,1
NT_168,NT,0.9760052568100119,1.0,-0.035039176655234316,Neutral Control,1
NT_169,NT,0.9616839873254713,1.0,-0.05636519758329532,Neutral Control,1
NT_17,NT,1.0180181766394922,1.0,0.025763320857170244,Neutral Control,1
NT_170,NT,0.9163830703051881,1.0,-0.12597728902997885,Neutral Control,1
NT_171,NT,1.0209512437515007,1.0,0.029913970939051106,Neutral Control,1
NT_172,NT,1.072667422502611,1.0,0.10120284190985906,Neutral Control,1
NT_173,NT,1.023142397549412,1.0,0.033006948545355685,Neutral Control,1
NT_174,NT,1.0621267961227794,1.0,0.08695600457725693,Neutral Control,1
NT_175,NT,0.9589128527269225,1.0,-0.06052838772699937,Neutral Control,1
NT_176,NT,1.0313623361922992,1.0,0.04455126654976896,Neutral Control,1
NT_177,NT,0.9361576471670321,1.0,-0.09517659751986704,Neutral Control,1
NT_178,NT,1.134539400839067,1.0,0.18210671249907787,Neutral Control,1
NT_179,NT,1.285861508653609,1.0,0.36273526821963503,Neutral Control,1
NT_180,NT,0.9892706199859765,1.0,-0.01556286338134708,Neutral Control,1
NT_181,NT,0.9706447336165452,1.0,-0.04298474449101421,Neutral Control,1
NT_182,NT,0.9953457028581246,1.0,-0.006730406238800957,Neutral Control,1
NT_183,NT,0.9357290884984267,1.0,-0.09583719248530938,Neutral Control,1
NT_184,NT,1.0104595077072378,1.0,0.015011509545017121,Neutral Control,1
NT_185,NT,1.1142764106417846,1.0,0.1561071561943384,Neutral Control,1
NT_186,NT,0.9449131281824827,1.0,-0.08174639550213433,Neutral Control,1
NT_187,NT,0.8808644240991056,1.0,-0.1830081072187781,Neutral Control,1
NT_188,NT,0.8526294549627184,1.0,-0.2300091993384729,Neutral Control,1
NT_189,NT,0.9969082299258469,1.0,-0.004467390990613688,Neutral Control,1
NT_19,NT,0.9598131112770323,1.0,-0.05917457413877969,Neutral Control,1
NT_190,NT,1.1034879876767514,1.0,0.14207092484769834,Neutral Control,1
