Target_Gene,RTN_A_median,RTN_A_CI_lower,RTN_A_CI_upper,RTN_B_median,RTN_B_CI_lower,RTN_B_CI_upper,Prognostic_Effect_median,Prognostic_Effect_CI_lower,Prognostic_Effect_CI_upper,p_value,adjusted_p_value,p_value_CI_lower,p_value_CI_upper,adjusted_p_value_CI_lower,adjusted_p_value_CI_upper
Rock2,0.0055147879167911,0.0050163493549042,0.0062668965526329,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0127073355999911,-0.1234466207586488,0.2396966056471641,0.6944583055416944,0.8626811248965147,0.04231995768004232,1.3999986000014e-05,0.057578173714343296,0.00023333310000023334
Rpa1,0.0051916434217598,0.0045719719935688,0.0056092936876673,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0739389211455954,-0.2598141017691624,0.0362848116158673,0.19944780055219946,0.46928894247576347,8.999991000009e-06,0.4025105974894025,3.74999625000375e-05,0.5174071749005175
Rpa3,0.0047480808730926,0.0044079276803786,0.005289549859514,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.2034513404513909,-0.3099838921638531,-0.0426607164227602,0.000720999279000721,0.0075894660947444315,9.99999000001e-07,0.4376705623294377,6.24999375000625e-06,0.533932799400534
Rpl7,0.0025744550945679,0.0022326868435278,0.0033882302985183,0.0054644808743169,0.0054644808743169,0.0054644808743169,-1.090820382982779,-1.2571659185241382,-0.695978536723538,9.99999000001e-07,2.4999975000025e-05,9.99999000001e-07,9.99999000001e-07,6.24999375000625e-06,2.857140000002857e-05
Rps6,0.0034211119961035,0.0029611293201508,0.0048885646182741,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.6756639678626288,-0.8839369482751906,-0.16606068824969,9.99999000001e-07,2.4999975000025e-05,9.99999000001e-07,0.005014994985005015,6.24999375000625e-06,0.02286361350002286
Rptor,0.0053961075663045,0.0043281068344153,0.006413010737749,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0277364226085891,-0.3364331489802953,0.1826647039558618,0.6208423791576209,0.816897867312659,9.99999000001e-07,0.001277998722001278,6.24999375000625e-06,0.009466657200009465
Shoc2,0.0055439630156989,0.0052010651383318,0.0059652193761972,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0208237522213795,-0.0712773399648243,0.1264907488990728,0.5766924233075766,0.7846155419150703,0.21564078435921563,0.023654976345023657,0.24786297052783407,0.08601809580008601
Sin3a,0.0049259948190475,0.0040039371659532,0.0052516473252528,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.1496736144762561,-0.4486651123337597,-0.0583076155594456,0.01250898749101251,0.08246241753758246,9.99999000001e-07,0.30152569847430155,6.24999375000625e-06,0.41589751513696765
Smad1,0.0059150296021577,0.005303255496751,0.0062913361541516,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.1142863815567637,-0.0316629294095132,0.2032820028815872,0.040526959473040525,0.19936077624897985,0.5663504336495664,0.000363999636000364,0.5897444879757193,0.0040444404000040445
Smad2,0.0053280390946438,0.005080646177718,0.0059032600338634,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0365690596730312,-0.1059991228359604,0.0935436943496198,0.5056414943585057,0.7381627654868695,0.07842592157407842,0.08512791487208513,0.10054605330010054,0.1956963560277819
Smad3,0.0055281571357414,0.0049360435501279,0.0060897710708677,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.01639055771102,-0.146729323106989,0.1563035483986042,0.6407083592916407,0.832088778300832,0.014441985558014441,0.004957995042004958,0.022923786600022922,0.02286361350002286
Smad4,0.0054162796954801,0.0051739346518308,0.0058808188031589,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0127822357624728,-0.1029915466024094,0.1059325932101956,0.8609071390928609,0.9502265223009503,0.0867979132020868,0.05486494513505487,0.10895614104385895,0.15902882647841993
Smarca2,0.0056693925996536,0.0049738435223495,0.0058562861156296,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0531002246145176,-0.1357233254499407,0.0993229581193008,0.2682497317502682,0.5474484321434046,0.02458897541102459,0.06983093016906983,0.036975902873721184,0.17905366710017903
Smarca4,0.0052955158667804,0.0048564950053508,0.0058426779843547,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0453332628096133,-0.1701689684894297,0.0965453318358465,0.411982588017412,0.6568580733006568,0.004086995913004087,0.0775959224040776,0.007499075069732269,0.18790457400018792
Smo,0.0055860320525751,0.0050902886542068,0.0059232579549066,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0317381547690833,-0.1023369770741199,0.1161641584541805,0.4467185532814467,0.6820130584449567,0.08909191090808909,0.037235962764037234,0.11067318125228458,0.11965702320011967
Snai1,0.0054441718044231,0.0050394003726263,0.0055889071577397,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0054861038604302,-0.1200578399718337,0.0323623506428544,0.99007200992799,0.9903960096039904,0.04802895197104803,0.4404945595054405,0.06446839190744702,0.533932799400534
Snai2,0.0058886680152403,0.0046624290637848,0.0062028097860004,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.1078510764551059,-0.2290026706303892,0.1828374378413848,0.05125094874905125,0.2383765058095407,7.5999924000076e-05,0.001275998724001276,0.00024516104516153546,0.009466657200009465
Snrnp200,0.0046989026393305,0.0041503632491237,0.0052987524725632,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.2178340938096265,-0.3971316829305021,-0.044431711890988,0.000233999766000234,0.0029249970750029252,9.99999000001e-07,0.4198965801034199,6.24999375000625e-06,0.5248707251292748
Snrpd1,0.0039362168333853,0.0034190480714372,0.0052206937991611,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.4747548341327761,-0.6764897393316445,-0.1206140591697547,9.99999000001e-07,2.4999975000025e-05,9.99999000001e-07,0.0468009531990468,6.24999375000625e-06,0.13970433790760237
